epoch,Day,Infectived,Recovered,Current Infected,Susceptibles
7,20,131,131,0,4
7,21,131,131,0,4
7,22,131,131,0,4
7,23,131,131,0,4
7,24,131,131,0,4
7,25,131,131,0,4
7,26,131,131,0,4
7,27,131,131,0,4
7,28,131,131,0,4
7,29,131,131,0,4
7,30,131,131,0,4
7,31,131,131,0,4
7,32,131,131,0,4
7,33,131,131,0,4
7,34,131,131,0,4
7,35,131,131,0,4
7,36,131,131,0,4
7,37,131,131,0,4
7,38,131,131,0,4
7,39,131,131,0,4
7,40,131,131,0,4
7,41,131,131,0,4
7,42,131,131,0,4
7,43,131,131,0,4
7,44,131,131,0,4
7,45,131,131,0,4
7,46,131,131,0,4
7,47,131,131,0,4
7,48,131,131,0,4
7,49,131,131,0,4
7,50,131,131,0,4
7,51,131,131,0,4
7,52,131,131,0,4
7,53,131,131,0,4
7,54,131,131,0,4
7,55,131,131,0,4
7,56,131,131,0,4
7,57,131,131,0,4
7,58,131,131,0,4
7,59,131,131,0,4
7,60,131,131,0,4
7,61,131,131,0,4
7,62,131,131,0,4
7,63,131,131,0,4
7,64,131,131,0,4
7,65,131,131,0,4
7,66,131,131,0,4
7,67,131,131,0,4
7,68,131,131,0,4
7,69,131,131,0,4
7,70,131,131,0,4
7,71,131,131,0,4
7,72,131,131,0,4
7,73,131,131,0,4
7,74,131,131,0,4
7,75,131,131,0,4
7,76,131,131,0,4
7,77,131,131,0,4
7,78,131,131,0,4
7,79,131,131,0,4
7,80,131,131,0,4
7,81,131,131,0,4
7,82,131,131,0,4
7,83,131,131,0,4
7,84,131,131,0,4
7,85,131,131,0,4
7,86,131,131,0,4
7,87,131,131,0,4
7,88,131,131,0,4
7,89,131,131,0,4
7,90,131,131,0,4
7,91,131,131,0,4
7,92,131,131,0,4
7,93,131,131,0,4
7,94,131,131,0,4
7,95,131,131,0,4
7,96,131,131,0,4
7,97,131,131,0,4
7,98,131,131,0,4
7,99,131,131,0,4
7,100,131,131,0,4
8,1,12,0,12,123
8,2,78,0,78,57
8,3,127,0,127,8
8,4,127,0,127,8
8,5,127,0,127,8
8,6,127,0,127,8
8,7,127,0,127,8
8,8,127,1,126,8
8,9,127,12,115,8
8,10,127,78,49,8
8,11,127,127,0,8
8,12,127,127,0,8
8,13,127,127,0,8
8,14,127,127,0,8
8,15,127,127,0,8
8,16,127,127,0,8
8,17,127,127,0,8
8,18,127,127,0,8
8,19,127,127,0,8
8,20,127,127,0,8
8,21,127,127,0,8
8,22,127,127,0,8
8,23,127,127,0,8
